Tên sản phẩm,Giá sản phẩm,Màu,Màn hình,Camera trước,Camera sau,Chip,Ram,Bộ nhớ trong,Thẻ sim,Pin,Hệ điều hành,Link,Loại sản phẩm,Cửa hàng
iPhone 12 mini 128GB Chính hãng (VN/A),17.990.000 VNĐ,Green Blue Black White Red ,Super Retina XDR 5.4inch,12MP,2 camera: 12MP + 12MP,Apple A14 Bionic,4GB,128GB,1 Nano SIM và 1 eSIM,2.227mAh,iOS 14,https://www.xtmobile.vn/iphone-12-mini-128gb-vna,IPHONE,XTMOBILE
iPhone 12 128GB Chính hãng (VN/A),21.390.000 VNĐ,Red Black Blue White Green Purple ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,128GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-128gb-vna,IPHONE,XTMOBILE
iPhone 6s 128GB (Cũ 99%),3.590.000 VNĐ,Màu Hồng Màu Xám Vàng (Gold) Màu Bạc ,"LED-backlit IPS LCD, 4.7"", Retina HD",5 MP,12 MP,Apple A9 2 nhân 64-bit,2 GB,128 GB,1 Nano SIM,1715 mAh,IOS,https://www.xtmobile.vn/iphone-6s-128g-may-cu-99,IPHONE,XTMOBILE
iPhone Xs Max 64GB (Cũ 97%),10.790.000 VNĐ,Màu Đen Vàng (Gold) Màu Trắng ,"OLED, 6.5"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,64 GB,,3.174 mAh,iOS,https://www.xtmobile.vn/iphone-xs-max-64gb-likenew,IPHONE,XTMOBILE
iPhone 11 128GB (Cũ 99%),14.390.000 VNĐ,Màu Đỏ Màu Tím Màu Đen Xanh Lá Màu Trắng ,"6.1"" Liquid Retina LCD",12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,128 GB,Nano-Sim,3110 mAh,iOS 13,https://www.xtmobile.vn/iphone-11-128gb-like-new,IPHONE,XTMOBILE
iPhone 7 Plus 32GB (Cũ 97%),4.890.000 VNĐ,Màu Đen Màu Hồng Vàng (Gold) ,"LED-backlit IPS LCD, 5.5"", Retina HD",7 MP,2 camera 12 MP,Apple A10 Fusion 4 nhân 64-bit,3 GB,32 GB,1 Nano SIM,2900 mAh,IOS,https://www.xtmobile.vn/iphone-7-plus-32gb-refurbished,IPHONE,XTMOBILE
iPhone 12 mini 64GB Chính hãng (VN/A),15.990.000 VNĐ,Red Blue Green White Black ,Super Retina XDR 5.4inch,12MP,2 camera: 12MP + 12MP,Apple A14 Bionic,4GB,64GB,1 Nano SIM và 1 eSIM,2.227mAh,iOS 14,https://www.xtmobile.vn/iphone-12-mini-64gb-vna,IPHONE,XTMOBILE
iPhone 12 128GB (Cũ 99%),19.190.000 VNĐ,Black Red Blue White Green ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,128GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-128gb-cu,IPHONE,XTMOBILE
iPhone 12 mini 256GB Chính hãng (VN/A),23.790.000 VNĐ,Black White Blue Green Red ,Super Retina XDR 5.4inch,,2 camera: 12MP + 12MP,Apple A14 Bionic,4GB,256GB,1 Nano SIM và 1 eSIM,2.227mAh,iOS 14,https://www.xtmobile.vn/iphone-12-mini-256gb-vna,IPHONE,XTMOBILE
iPhone 12 256GB Chính Hãng (VN/A),28.090.000 VNĐ,Blue Green Red Black White ,OLED,12MP True Depth,Camera kép 12 + 12MP góc rộng và góc siêu rộng,Apple A14 Bionic,4GB,256GB,1 Nano Sim - 1 eSim,"2,815mAh",iOS 14,https://www.xtmobile.vn/iphone-12-256gb-vna,IPHONE,XTMOBILE
iPhone 12 Pro 256GB Chính hãng (VN/A),28.390.000 VNĐ,Pacific Blue [Xanh] Graphite [Than chì] Silver [Trắng] Gold [Vàng] ,6.1 inch,12MP,"12MP, 12MP, 12MP",A14 Bionic,6GB,256GB,1 Nano SIM và 1 eSIM,2.815mAh,iOS 14,https://www.xtmobile.vn/iphone-12-pro-256gb-vna,IPHONE,XTMOBILE
iPhone 12 Pro Max 512GB Chính hãng (VN/A),37.590.000 VNĐ,Graphite [Than chì] Gold [Vàng] Silver [Trắng] Pacific Blue [Xanh] ,"6.7"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP + LiDAR,Apple A14 Bionic 6 nhân (5nm),6GB LPDDR5,512GB,Nano-Sim,3.687mAh,iOS,https://www.xtmobile.vn/iphone-12-pro-max-512gb-vna,IPHONE,XTMOBILE
iPhone 6s Plus 64GB (Cũ 99%),4.490.000 VNĐ,Màu Hồng Màu Xám Vàng (Gold) Màu Trắng ,"LED-backlit IPS LCD, 5.5"", Retina HD",5 MP,12 MP,Apple A9 2 nhân 64-bit,2 GB,64 GB,1 Nano SIM,2750 mAh,IOS,https://www.xtmobile.vn/iphone-6s-plus-64g-99-likenew,IPHONE,XTMOBILE
iPhone 11 Pro Max 512GB (Cũ 99%),21.990.000 VNĐ,Màu Xám Màu Bạc Xanh rêu ,"6.5"" Super Retina XDR",12 MP,12 MP + 12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,512 GB,Nano-Sim,3969 mAh,iOS,https://www.xtmobile.vn/iphone-11-pro-max-512gb-like-new,IPHONE,XTMOBILE
iPhone 12 Pro 128GB (Cũ 99%),22.990.000 VNĐ,Graphite [Than chì] Pacific Blue [Xanh] Silver [Trắng] Gold [Vàng] ,6.1 inch,12MP,"12MP, 12MP, 12MP",A14 Bionic,6GB,128GB,1 Nano SIM và 1 eSIM,2.815mAh,iOS 14,https://www.xtmobile.vn/iphone-12-pro-128gb,IPHONE,XTMOBILE
iPhone 12 Pro 256GB (Cũ 99%),24.990.000 VNĐ,Graphite [Than chì] Pacific Blue [Xanh] Silver [Trắng] Gold [Vàng] ,6.1 inch,12MP,"12MP, 12MP, 12MP",A14 Bionic,6GB,256GB,1 Nano SIM và 1 eSIM,2.815mAh,iOS 14,https://www.xtmobile.vn/iphone-12-pro-256gb,IPHONE,XTMOBILE
iPhone 12 Pro 512GB Chính hãng (VN/A),37.990.000 VNĐ,Pacific Blue [Xanh] Gold [Vàng] Silver [Trắng] Graphite [Than chì] ,6.1 inch,12MP,"12MP, 12MP, 12MP",A14 Bionic,6GB,512GB,1 Nano SIM và 1 eSIM,2.815mAh,iOS 14,https://www.xtmobile.vn/iphone-12-pro-512gb-vna,IPHONE,XTMOBILE
iPhone Xs 256GB (Cũ 97%),9.190.000 VNĐ,Màu Xám Màu Bạc Vàng (Gold) ,"OLED, 5.8"", Super Retina",7 MP,2 camera 12 MP,Apple A12 Bionic 6 nhân,4 GB,256 GB,1 Nano Sim,2716 mAh,iOS,https://www.xtmobile.vn/iphone-xs-256gb-likenew,IPHONE,XTMOBILE
iPhone 11 64GB (Cũ 97%),12.590.000 VNĐ,Màu Đen Màu Trắng ,"6.1"" Liquid Retina LCD",12 MP,12 MP + 12 MP,Apple A13 Bionic 6 nhân (7nm+),4 GB,128 GB,Nano-Sim,3110 mAh,iOS,https://www.xtmobile.vn/iphone-11-64gb-likenew,IPHONE,XTMOBILE
